uid,group,join_dt,device,id,country,gender,uid,dt,device,spent
1000078,A,2023-01-26,A,1000078,FRA,F,,,,
1000080,A,2023-01-26,A,1000080,USA,,,,,
1000081,A,2023-01-26,A,1000081,USA,F,,,,
1000082,B,2023-01-25,A,1000082,BRA,M,,,,
1000083,A,2023-01-27,A,1000083,BRA,F,,,,
1000084,A,2023-01-26,A,1000084,MEX,M,,,,
1000085,A,2023-01-26,I,1000085,MEX,M,,,,
1000086,B,2023-01-28,A,1000086,BRA,M,,,,
1000087,B,2023-01-28,A,1000087,ESP,M,,,,
1000088,B,2023-01-27,A,1000088,,O,,,,
1000089,A,2023-01-25,I,1000089,BRA,F,,,,
1000090,B,2023-01-27,A,1000090,USA,F,,,,
1000091,B,2023-01-26,A,1000091,BRA,M,,,,
1000092,B,2023-02-03,I,1000092,BRA,,,,,
1000093,B,2023-01-30,I,1000093,TUR,M,,,,
1000094,B,2023-01-26,A,1000094,DEU,M,,,,
1000095,B,2023-01-27,I,1000095,CAN,F,,,,
1000096,B,2023-01-29,A,1000096,USA,F,,,,
1000097,B,2023-01-26,I,1000097,MEX,O,,,,
1000098,A,2023-01-30,A,1000098,GBR,M,,,,
1000099,A,2023-02-03,A,1000099,USA,,,,,
1000100,B,2023-01-31,A,1000100,,M,,,,
1000101,B,2023-02-02,A,1000101,MEX,F,1000101,2023-02-05,A,5.674496940652932
1000101,B,2023-02-02,A,1000101,MEX,F,1000101,2023-02-02,A,18.13
1000102,A,2023-01-28,A,1000102,USA,M,,,,
1000103,A,2023-02-02,A,1000103,BRA,M,,,,
1000104,A,2023-01-29,A,1000104,USA,,,,,
1000105,A,2023-01-25,I,1000105,USA,M,,,,
1000106,A,2023-01-27,A,1000106,TUR,,,,,
1000107,A,2023-01-25,A,1000107,BRA,,,,,
1000108,B,2023-02-02,A,1000108,MEX,M,,,,
1000109,B,2023-01-25,A,1000109,MEX,M,,,,
1000110,A,2023-01-29,A,1000110,USA,M,,,,
1000111,B,2023-01-27,A,1000111,GBR,,,,,
1000112,A,2023-01-28,A,1000112,USA,F,,,,
1000113,B,2023-01-28,A,1000113,BRA,M,,,,
1000114,A,2023-01-28,I,1000114,CAN,M,,,,
1000115,A,2023-01-27,A,1000115,MEX,M,,,,
1000117,A,2023-01-29,I,1000117,ESP,,,,,
1000118,B,2023-01-25,,1000118,USA,M,,,,
1000119,B,2023-01-29,A,1000119,BRA,F,,,,
1000120,B,2023-01-28,I,1000120,TUR,M,,,,
1000121,B,2023-01-25,A,1000121,ESP,F,,,,
1000122,A,2023-01-28,A,1000122,BRA,F,,,,
1000123,B,2023-01-26,I,1000123,DEU,,1000123,2023-01-26,I,100.74
1000124,B,2023-01-30,A,1000124,MEX,M,,,,
1000125,A,2023-02-04,A,1000125,DEU,F,,,,
1000126,A,2023-02-03,I,1000126,TUR,F,,,,
1000127,B,2023-01-26,A,1000127,USA,F,,,,
1000128,B,2023-02-03,A,1000128,GBR,M,,,,
1000129,A,2023-01-31,I,1000129,DEU,M,,,,
1000130,B,2023-01-27,A,1000130,USA,M,,,,
1000131,A,2023-01-25,A,1000131,BRA,,,,,
1000132,B,2023-02-06,I,1000132,USA,F,,,,
1000133,A,2023-01-29,I,1000133,USA,,,,,
1000134,B,2023-01-28,I,1000134,USA,,,,,
1000135,B,2023-01-25,I,1000135,USA,M,,,,
1000136,A,2023-01-25,A,1000136,MEX,M,,,,
1000137,A,2023-01-29,A,1000137,USA,M,,,,
1000138,B,2023-01-28,I,1000138,BRA,M,,,,
1000139,A,2023-01-25,I,1000139,USA,,,,,
1000140,A,2023-01-27,I,1000140,USA,M,,,,
1000141,A,2023-01-25,A,1000141,BRA,M,1000141,2023-01-25,A,11.49
1000142,B,2023-01-26,,1000142,USA,F,,,,
1000143,B,2023-01-25,I,1000143,USA,,,,,
1000144,A,2023-01-26,I,1000144,USA,M,,,,
1000145,A,2023-01-25,I,1000145,MEX,,,,,
1000146,A,2023-01-29,A,1000146,BRA,F,,,,
1000147,A,2023-02-03,A,1000147,TUR,F,,,,
1000148,A,2023-01-26,I,1000148,FRA,M,,,,
1000149,A,2023-01-25,I,1000149,,M,,,,
1000150,B,2023-02-05,I,1000150,USA,F,,,,
1000151,A,2023-01-28,I,1000151,MEX,M,,,,
1000152,B,2023-02-06,I,1000152,MEX,F,,,,
1000153,B,2023-01-27,A,1000153,USA,F,,,,
1000155,A,2023-01-26,I,1000155,DEU,M,,,,
1000156,A,2023-01-25,I,1000156,BRA,M,,,,
1000157,A,2023-01-28,I,1000157,ESP,F,,,,
1000158,A,2023-01-26,I,1000158,TUR,M,,,,
1000160,A,2023-01-25,A,1000160,USA,F,1000160,2023-01-29,A,35.34
1000161,A,2023-01-31,A,1000161,,M,,,,
1000162,A,2023-01-27,A,1000162,BRA,M,1000162,2023-01-27,A,52.92
1000163,B,2023-01-29,A,1000163,BRA,F,,,,
1000164,B,2023-01-26,A,1000164,BRA,F,,,,
1000165,B,2023-01-30,I,1000165,GBR,M,,,,
1000166,A,2023-02-04,A,1000166,DEU,M,,,,
1000167,A,2023-01-25,A,1000167,BRA,F,,,,
1000168,A,2023-02-05,A,1000168,BRA,F,,,,
1000169,A,2023-01-26,I,1000169,USA,O,,,,
1000170,B,2023-02-01,A,1000170,USA,M,,,,
1000171,A,2023-01-27,I,1000171,USA,M,,,,
1000172,A,2023-01-25,I,1000172,USA,,,,,
1000173,A,2023-01-25,I,1000173,USA,F,,,,
1000174,B,2023-01-29,A,1000174,TUR,M,,,,
1000175,A,2023-01-25,I,1000175,AUS,F,,,,
1000177,A,2023-02-02,A,1000177,DEU,F,,,,
1000178,B,2023-02-03,I,1000178,USA,M,,,,
1000179,B,2023-01-27,A,1000179,USA,M,,,,
1000180,B,2023-01-25,I,1000180,USA,M,,,,
1000181,A,2023-02-03,I,1000181,USA,F,,,,
1000182,B,2023-01-31,A,1000182,TUR,F,,,,
1000183,B,2023-01-27,A,1000183,MEX,M,,,,
1000184,A,2023-01-25,A,1000184,ESP,M,,,,
1000185,B,2023-02-04,I,1000185,MEX,F,1000185,2023-02-06,I,53.07
1000186,A,2023-02-01,A,1000186,MEX,F,,,,
1000187,B,2023-01-26,I,1000187,,M,,,,
1000188,B,2023-01-25,A,1000188,USA,M,,,,
1000189,B,2023-01-25,I,1000189,CAN,,,,,
1000190,A,2023-02-05,I,1000190,GBR,M,,,,
1000191,B,2023-01-25,A,1000191,FRA,F,,,,
1000192,A,2023-02-05,I,1000192,ESP,F,,,,
1000193,B,2023-01-26,A,1000193,BRA,F,,,,
1000194,A,2023-01-31,A,1000194,MEX,F,,,,
1000195,A,2023-01-25,A,1000195,GBR,F,,,,
1000196,A,2023-01-26,A,1000196,MEX,M,,,,
1000197,B,2023-01-30,A,1000197,TUR,F,,,,
1000198,A,2023-01-28,A,1000198,USA,M,,,,
1000199,B,2023-02-06,I,1000199,MEX,F,,,,
1000200,A,2023-01-26,I,1000200,USA,F,1000200,2023-01-26,I,166.32
1000201,B,2023-01-27,I,1000201,CAN,F,,,,
1000202,A,2023-01-26,A,1000202,MEX,M,,,,
1000203,A,2023-01-26,A,1000203,DEU,M,,,,
1000204,B,2023-01-27,A,1000204,DEU,M,,,,
1000205,A,2023-01-29,A,1000205,BRA,,,,,
1000206,A,2023-01-26,I,1000206,USA,F,,,,
1000207,A,2023-01-26,A,1000207,TUR,F,,,,
1000208,A,2023-01-25,I,1000208,USA,F,,,,
1000209,B,2023-02-05,A,1000209,ESP,,,,,
1000210,A,2023-01-28,I,1000210,FRA,F,,,,
1000211,B,2023-01-30,A,1000211,USA,M,,,,
1000212,A,2023-01-31,A,1000212,MEX,F,,,,
1000213,B,2023-01-26,I,1000213,AUS,M,,,,
1000214,B,2023-01-25,A,1000214,FRA,F,,,,
1000215,B,2023-02-02,I,1000215,,M,,,,
1000216,B,2023-01-27,I,1000216,USA,M,,,,
1000217,B,2023-01-26,A,1000217,BRA,,,,,
1000218,B,2023-01-25,A,1000218,USA,F,,,,
1000219,A,2023-01-25,A,1000219,ESP,F,,,,
1000220,A,2023-01-26,I,1000220,USA,,,,,
1000221,A,2023-01-27,A,1000221,DEU,M,,,,
1000222,A,2023-02-01,A,1000222,USA,M,,,,
1000223,A,2023-02-01,I,1000223,DEU,M,,,,
1000224,A,2023-02-05,A,1000224,GBR,F,,,,
1000225,B,2023-01-28,A,1000225,USA,M,,,,
1000226,A,2023-01-31,,1000226,CAN,M,,,,
1000227,A,2023-01-25,I,1000227,GBR,F,,,,
1000228,B,2023-02-01,I,1000228,USA,F,,,,
1000229,A,2023-01-28,I,1000229,USA,M,,,,
1000230,B,2023-01-25,I,1000230,BRA,O,,,,
1000231,B,2023-01-25,I,1000231,FRA,F,,,,
1000232,B,2023-01-29,A,1000232,BRA,F,,,,
1000233,A,2023-01-26,A,1000233,MEX,M,,,,
1000234,B,2023-02-02,A,1000234,GBR,M,,,,
1000235,A,2023-02-06,I,1000235,FRA,M,,,,
1000236,B,2023-02-05,I,1000236,BRA,M,,,,
1000237,B,2023-01-29,I,1000237,USA,M,1000237,2023-01-29,I,13.17
1000238,B,2023-01-27,I,1000238,USA,M,,,,
1000239,A,2023-01-25,A,1000239,TUR,F,,,,
1000240,B,2023-02-05,I,1000240,CAN,M,,,,
1000241,A,2023-01-25,A,1000241,BRA,,,,,
1000242,B,2023-01-27,A,1000242,BRA,M,,,,
1000243,A,2023-01-26,A,1000243,USA,F,,,,
1000244,B,2023-01-28,A,1000244,USA,M,,,,
1000245,A,2023-01-25,A,1000245,MEX,F,,,,
1000246,B,2023-01-26,I,1000246,TUR,F,,,,
1000247,A,2023-01-28,A,1000247,FRA,F,,,,
1000248,A,2023-01-25,A,1000248,FRA,M,,,,
1000249,A,2023-01-26,,1000249,GBR,F,,,,
1000250,B,2023-02-04,A,1000250,FRA,F,,,,
1000251,A,2023-01-26,A,1000251,USA,M,,,,
1000252,A,2023-02-01,I,1000252,TUR,F,,,,
1000253,B,2023-02-06,A,1000253,DEU,M,1000253,2023-02-06,A,40.32
1000254,B,2023-01-30,A,1000254,ESP,M,,,,
1000255,B,2023-01-26,A,1000255,FRA,,,,,
1000256,B,2023-01-28,I,1000256,USA,,,,,
1000257,B,2023-01-29,A,1000257,GBR,F,,,,
1000258,A,2023-01-27,I,1000258,CAN,F,,,,
1000259,A,2023-02-06,A,1000259,BRA,M,,,,
1000260,B,2023-02-04,A,1000260,USA,F,,,,
1000261,A,2023-01-25,A,1000261,TUR,F,1000261,2023-01-25,A,205.98
1000262,A,2023-01-31,A,1000262,MEX,M,,,,
1000263,B,2023-01-31,A,1000263,USA,M,,,,
1000264,A,2023-01-25,A,1000264,BRA,F,,,,
1000265,A,2023-01-28,A,1000265,USA,F,,,,
1000266,B,2023-01-31,A,1000266,GBR,M,,,,
1000267,B,2023-01-25,I,1000267,USA,M,,,,
1000268,A,2023-01-31,A,1000268,BRA,F,,,,
1000269,A,2023-01-25,A,1000269,USA,M,1000269,2023-01-25,A,116.29
1000270,A,2023-01-26,I,1000270,AUS,F,,,,
1000271,A,2023-01-28,A,1000271,MEX,M,,,,
1000272,B,2023-01-29,I,1000272,FRA,M,,,,
1000273,B,2023-02-03,I,1000273,DEU,F,,,,
1000274,A,2023-01-25,I,1000274,DEU,M,,,,
1000275,A,2023-01-26,I,1000275,USA,M,,,,
1000276,A,2023-01-26,I,1000276,BRA,M,,,,
1000277,A,2023-02-03,A,1000277,BRA,F,,,,
1000278,A,2023-01-29,I,1000278,DEU,,,,,
1000279,A,2023-01-25,A,1000279,USA,M,,,,
1000280,A,2023-02-01,A,1000280,MEX,F,,,,
1000281,B,2023-01-28,A,1000281,USA,M,,,,
1000282,B,2023-02-04,A,1000282,MEX,M,,,,
1000283,B,2023-02-02,I,1000283,USA,M,,,,
1000284,B,2023-01-25,I,1000284,BRA,,,,,
1000285,A,2023-01-25,I,1000285,,F,,,,
1000286,A,2023-01-30,I,1000286,USA,M,,,,
1000287,B,2023-01-27,I,1000287,DEU,F,,,,
1000288,A,2023-01-28,I,1000288,TUR,F,,,,
1000289,B,2023-02-04,A,1000289,DEU,M,,,,
1000290,A,2023-01-26,I,1000290,FRA,M,,,,
1000291,A,2023-01-28,I,1000291,ESP,M,,,,
1000292,A,2023-01-26,A,1000292,ESP,,,,,
1000294,B,2023-02-02,A,1000294,MEX,F,,,,
1000295,B,2023-01-27,A,1000295,USA,F,,,,
1000296,A,2023-01-29,A,1000296,USA,M,,,,
1000297,B,2023-01-26,A,1000297,BRA,,,,,
1000298,A,2023-01-26,A,1000298,CAN,F,,,,
1000299,B,2023-01-27,I,1000299,FRA,M,,,,
1000300,A,2023-01-26,A,1000300,MEX,F,,,,
1000301,B,2023-01-25,I,1000301,TUR,F,,,,
1000302,A,2023-01-25,I,1000302,BRA,F,,,,
1000303,B,2023-01-29,I,1000303,DEU,F,,,,
1000304,A,2023-02-03,A,1000304,USA,M,,,,
1000305,A,2023-01-26,A,1000305,USA,F,,,,
1000306,A,2023-01-25,A,1000306,FRA,F,,,,
1000307,A,2023-01-31,A,1000307,BRA,M,,,,
1000308,A,2023-01-27,A,1000308,BRA,M,,,,
1000309,B,2023-01-26,I,1000309,USA,F,,,,
1000310,B,2023-01-27,A,1000310,BRA,F,,,,
1000311,A,2023-01-25,I,1000311,BRA,F,,,,
1000312,B,2023-02-04,I,1000312,MEX,F,,,,
1000313,B,2023-01-25,I,1000313,MEX,F,,,,
1000315,A,2023-02-02,A,1000315,BRA,F,,,,
1000316,A,2023-02-02,A,1000316,USA,F,,,,
1000317,B,2023-01-27,A,1000317,FRA,M,,,,
1000318,B,2023-02-03,A,1000318,USA,M,,,,
1000319,A,2023-01-28,A,1000319,AUS,F,,,,
1000320,A,2023-01-31,A,1000320,USA,M,,,,
1000321,A,2023-01-30,A,1000321,USA,F,,,,
1000322,B,2023-01-27,A,1000322,CAN,,,,,
1000323,B,2023-01-25,A,1000323,TUR,F,,,,
1000325,A,2023-01-30,I,1000325,MEX,M,,,,
1000326,B,2023-01-30,A,1000326,TUR,F,,,,
1000327,A,2023-01-25,A,1000327,USA,M,,,,
1000328,B,2023-01-26,A,1000328,MEX,F,,,,
1000329,B,2023-01-31,I,1000329,USA,M,,,,
1000330,B,2023-01-26,A,1000330,TUR,F,,,,
1000331,A,2023-01-27,I,1000331,USA,M,,,,
1000332,A,2023-01-25,I,1000332,USA,F,,,,
1000333,A,2023-01-26,A,1000333,USA,M,,,,
1000334,A,2023-01-29,I,1000334,FRA,F,,,,
1000335,A,2023-01-25,A,1000335,USA,F,,,,
1000336,B,2023-01-26,A,1000336,BRA,M,,,,
1000337,A,2023-01-25,A,1000337,MEX,M,,,,
1000338,A,2023-02-06,I,1000338,MEX,O,,,,
1000339,A,2023-02-02,A,1000339,USA,F,,,,
1000340,B,2023-02-01,I,1000340,USA,F,,,,
1000341,A,2023-01-28,I,1000341,USA,,,,,
1000342,B,2023-01-27,I,1000342,AUS,F,,,,
1000343,A,2023-02-01,A,1000343,GBR,O,,,,
1000344,A,2023-01-25,I,1000344,USA,F,,,,
1000345,A,2023-01-25,A,1000345,GBR,M,,,,
1000346,A,2023-01-25,I,1000346,MEX,F,,,,
1000347,A,2023-01-27,A,1000347,AUS,O,,,,
1000348,B,2023-01-25,A,1000348,BRA,M,,,,
1000349,B,2023-01-30,A,1000349,BRA,M,,,,
1000350,B,2023-01-25,I,1000350,USA,M,,,,
1000351,B,2023-01-28,A,1000351,BRA,F,,,,
1000352,A,2023-01-27,A,1000352,USA,F,,,,
1000353,A,2023-01-25,A,1000353,MEX,,,,,
1000354,B,2023-01-26,I,1000354,BRA,F,,,,
1000355,A,2023-01-26,A,1000355,FRA,M,,,,
1000356,A,2023-01-26,I,1000356,GBR,F,,,,
1000357,A,2023-01-27,I,1000357,USA,F,,,,
1000358,B,2023-01-27,A,1000358,,F,,,,
1000359,B,2023-01-27,I,1000359,GBR,M,,,,
1000360,B,2023-01-25,I,1000360,TUR,,,,,
1000361,B,2023-02-04,I,1000361,BRA,F,,,,
1000362,A,2023-01-27,A,1000362,FRA,M,,,,
1000363,A,2023-02-06,A,1000363,ESP,M,,,,
1000364,A,2023-01-29,A,1000364,TUR,F,,,,
1000365,B,2023-01-26,A,1000365,FRA,F,,,,
1000366,B,2023-02-04,A,1000366,TUR,,,,,
1000367,B,2023-01-25,A,1000367,BRA,M,,,,
1000368,A,2023-02-03,A,1000368,BRA,,,,,
1000369,A,2023-01-25,I,1000369,BRA,O,,,,
1000370,B,2023-01-26,A,1000370,BRA,M,,,,
1000371,A,2023-02-03,A,1000371,USA,M,,,,
1000372,B,2023-01-27,,1000372,AUS,F,,,,
1000373,A,2023-01-30,A,1000373,FRA,F,,,,
1000374,A,2023-02-03,A,1000374,ESP,F,,,,
1000375,B,2023-01-25,A,1000375,USA,M,,,,
1000376,A,2023-01-28,A,1000376,MEX,F,,,,
1000377,B,2023-02-02,A,1000377,BRA,,,,,
1000378,B,2023-01-25,A,1000378,USA,F,,,,
1000379,A,2023-01-25,I,1000379,MEX,F,,,,
1000381,B,2023-01-26,A,1000381,BRA,,,,,
1000382,A,2023-02-04,I,1000382,DEU,M,,,,
1000383,A,2023-01-25,A,1000383,ESP,,,,,
1000384,A,2023-01-26,I,1000384,DEU,F,,,,
1000385,A,2023-01-26,A,1000385,DEU,M,,,,
1000386,A,2023-01-28,A,1000386,TUR,M,,,,
1000387,B,2023-02-03,A,1000387,MEX,F,,,,
1000388,B,2023-01-26,I,1000388,GBR,F,,,,
1000389,B,2023-01-27,A,1000389,USA,M,,,,
1000391,B,2023-02-06,A,1000391,BRA,,,,,
1000392,A,2023-01-25,A,1000392,ESP,F,,,,
1000393,A,2023-01-25,A,1000393,USA,F,,,,
1000394,A,2023-01-29,I,1000394,ESP,F,,,,
1000395,A,2023-02-01,A,1000395,USA,F,,,,
1000396,A,2023-01-26,A,1000396,MEX,O,,,,
1000397,B,2023-01-29,A,1000397,CAN,F,,,,
1000398,B,2023-01-26,A,1000398,USA,F,,,,
1000399,A,2023-01-26,I,1000399,DEU,M,,,,
1000401,A,2023-01-30,I,1000401,USA,F,,,,
1000402,A,2023-01-25,I,1000402,CAN,,,,,
1000403,A,2023-01-26,A,1000403,AUS,O,,,,
1000404,A,2023-01-31,A,1000404,MEX,M,,,,
1000405,A,2023-01-28,I,1000405,USA,M,,,,
1000406,A,2023-02-01,A,1000406,MEX,,,,,
1000407,A,2023-01-27,I,1000407,TUR,,,,,
1000408,B,2023-01-27,A,1000408,BRA,M,,,,
1000409,A,2023-01-27,A,1000409,BRA,M,,,,
1000410,B,2023-01-25,A,1000410,CAN,F,,,,
1000411,B,2023-02-03,I,1000411,GBR,F,,,,
1000412,A,2023-01-25,I,1000412,TUR,F,,,,
1000413,B,2023-01-27,A,1000413,MEX,,,,,
1000414,B,2023-01-28,A,1000414,BRA,M,,,,
1000415,B,2023-02-04,I,1000415,DEU,,1000415,2023-02-05,I,57.69
1000416,A,2023-02-05,A,1000416,USA,M,,,,
1000417,B,2023-01-30,A,1000417,DEU,F,1000417,2023-02-04,A,45.06
1000418,B,2023-02-04,A,1000418,USA,F,,,,
1000419,A,2023-01-26,I,1000419,USA,F,,,,
1000420,A,2023-02-01,A,1000420,USA,F,,,,
1000421,A,2023-02-06,A,1000421,MEX,F,,,,
1000422,A,2023-01-30,I,1000422,TUR,,,,,
1000423,B,2023-01-25,A,1000423,USA,F,,,,
1000424,B,2023-01-25,I,1000424,DEU,F,,,,
1000425,B,2023-01-29,A,1000425,USA,F,,,,
1000426,A,2023-01-30,I,1000426,MEX,F,,,,
1000428,A,2023-01-28,A,1000428,USA,M,,,,
1000429,B,2023-01-25,A,1000429,MEX,O,,,,
1000430,A,2023-01-26,I,1000430,USA,M,,,,
1000431,B,2023-01-25,A,1000431,DEU,F,,,,
1000432,A,2023-01-26,A,1000432,USA,,,,,
1000433,B,2023-02-05,I,1000433,,F,,,,
1000434,B,2023-01-31,I,1000434,BRA,M,,,,
1000436,B,2023-01-28,A,1000436,TUR,F,1000436,2023-01-29,A,25.55
1000437,A,2023-02-06,A,1000437,DEU,M,,,,
1000438,A,2023-01-25,I,1000438,MEX,F,,,,
1000439,A,2023-01-25,I,1000439,MEX,F,,,,
1000440,B,2023-01-27,A,1000440,GBR,M,,,,
1000441,A,2023-02-04,A,1000441,MEX,F,,,,
1000442,A,2023-01-26,I,1000442,DEU,F,,,,
1000443,A,2023-01-28,A,1000443,USA,M,,,,
1000445,B,2023-01-26,A,1000445,AUS,F,,,,
1000446,A,2023-01-31,A,1000446,FRA,F,,,,
1000447,B,2023-01-25,I,1000447,USA,F,,,,
1000448,A,2023-01-25,I,1000448,BRA,F,,,,
1000449,B,2023-01-25,I,1000449,USA,,,,,
1000450,B,2023-01-27,I,1000450,USA,M,,,,
1000451,A,2023-02-01,I,1000451,BRA,F,,,,
1000452,A,2023-01-28,A,1000452,BRA,,,,,
1000453,A,2023-01-25,A,1000453,MEX,M,,,,
1000454,B,2023-01-30,I,1000454,USA,M,1000454,2023-02-03,I,39.09
1000455,B,2023-01-29,I,1000455,USA,F,,,,
1000456,A,2023-01-27,I,1000456,TUR,F,,,,
1000457,A,2023-02-02,I,1000457,BRA,F,,,,
1000458,A,2023-02-06,I,1000458,BRA,O,,,,
1000459,B,2023-01-26,A,1000459,FRA,F,,,,
1000460,B,2023-01-27,A,1000460,BRA,,,,,
1000461,A,2023-01-26,I,1000461,BRA,,,,,
1000462,B,2023-01-25,I,1000462,CAN,M,,,,
1000463,A,2023-02-05,A,1000463,TUR,M,,,,
1000464,A,2023-01-26,A,1000464,USA,M,,,,
1000465,A,2023-01-27,A,1000465,BRA,M,,,,
1000466,B,2023-01-30,I,1000466,USA,F,,,,
1000467,B,2023-01-28,A,1000467,TUR,,,,,
1000468,B,2023-01-25,I,1000468,AUS,F,,,,
1000469,B,2023-02-05,A,1000469,GBR,,,,,
1000470,B,2023-01-30,I,1000470,DEU,F,,,,
1000471,A,2023-02-01,A,1000471,BRA,F,,,,
1000472,B,2023-01-28,I,1000472,CAN,F,,,,
1000473,A,2023-01-28,A,1000473,USA,M,,,,
1000474,B,2023-01-26,A,1000474,GBR,M,,,,
1000475,B,2023-02-06,A,1000475,BRA,,,,,
1000476,B,2023-02-01,I,1000476,MEX,F,,,,
1000477,B,2023-01-28,A,1000477,,F,,,,
1000478,A,2023-01-27,I,1000478,FRA,F,,,,
1000479,B,2023-01-31,I,1000479,USA,M,,,,
1000480,A,2023-01-25,A,1000480,BRA,,,,,
1000481,A,2023-02-02,A,1000481,BRA,F,,,,
1000482,B,2023-01-26,A,1000482,TUR,M,,,,
1000483,A,2023-01-31,I,1000483,USA,M,,,,
1000484,A,2023-01-28,A,1000484,BRA,M,,,,
1000485,A,2023-01-25,I,1000485,BRA,,,,,
1000486,B,2023-01-25,A,1000486,DEU,M,,,,
1000487,A,2023-01-29,I,1000487,MEX,M,,,,
1000488,B,2023-02-05,A,1000488,FRA,F,,,,
1000489,A,2023-02-06,I,1000489,MEX,F,,,,
1000490,A,2023-01-27,A,1000490,USA,F,,,,
1000491,B,2023-01-26,I,1000491,TUR,,,,,
1000492,A,2023-02-02,A,1000492,BRA,F,,,,
1000493,B,2023-02-05,A,1000493,USA,F,,,,
1000494,A,2023-01-27,I,1000494,USA,F,,,,
